RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,
6596,5991.5755,21,2,4,1,3,3,99,
14493,3414.0546,27,2,2,2,4,3,6,
9320,1946.2839,51,1,2,2,2,3,11,
18236,3304.4688,48,2,4,1,2,1,98,
11855,812.442,58,2,2,2,3,1,11,
14277,1695.39,58,1,2,3,3,4,6,
16375,668.7433,67,2,1,2,4,2,7,
17899,1467.0355,80,2,2,2,1,3,98,
4830,1541.4927,60,2,2,2,2,1,7,
795,665.5741,80,2,1,9,5,3,99,
16640,1740.1495,50,2,2,1,2,1,9,
21595,1740.1495,50,2,2,2,2,2,6,
1533,2644.0826,57,1,3,2,2,2,10,
21553,3220.2691,31,1,3,2,1,4,10,
20776,2312.7693,36,1,4,2,5,1,12,
17036,583.226,80,1,1,3,2,2,7,
5833,773.8304,80,2,1,3,2,5,4,
7738,1096.0367,74,1,3,2,1,3,10,
7900,4047.1595,52,1,5,2,1,1,12,
9289,982.4549,80,2,1,2,2,3,99,
6984,2506.4436,56,2,3,1,1,4,5,
4855,1623.5957,80,1,1,2,1,4,12,
11092,5254.3252,20,1,4,2,3,2,3,
20126,2218.4077,38,2,2,3,4,4,6,
21939,1585.2062,63,2,2,2,3,3,98,
15526,1145.0374,36,2,2,2,1,3,4,
5185,3489.1152,49,1,5,3,2,2,6,
13984,953.2431,42,2,1,2,4,2,11,
3215,2172.3485,32,2,3,2,2,3,7,
3688,2312.7693,35,1,4,3,2,3,9,
10901,953.2431,44,2,1,1,2,1,11,
17207,2172.3485,32,2,3,2,2,2,98,
4504,1821.2986,28,1,1,1,1,2,7,
3376,867.5037,54,1,1,2,2,2,10,
18842,6266.3173,36,1,6,2,2,3,8,
3327,2158.695,43,2,2,3,3,4,4,
21353,1011.2583,38,2,1,3,1,2,9,
16918,597.3989,35,2,1,1,4,2,8,
14411,512.4761,53,1,1,3,5,3,4,
18689,474.1542,54,2,1,3,2,4,6,
474,959.8972,58,2,2,2,3,1,9,
14114,446.4133,59,1,1,1,1,1,11,
15691,324.2763,74,1,1,2,5,3,5,
9866,367.9002,60,1,1,2,1,2,7,
46,1149.7635,54,1,2,3,2,2,8,
22348,643.1663,44,1,1,3,1,1,7,
4577,702.3431,61,2,3,2,3,3,3,
11018,442.7468,56,2,1,2,2,3,98,
17165,442.7468,57,2,1,1,3,3,10,
12753,744.642,71,1,2,2,2,2,9,
4388,825.4008,64,1,2,2,2,1,5,
5809,437.7845,47,2,1,1,3,2,8,
15648,395.0588,69,2,1,2,1,1,98,
21748,1001.5484,56,1,2,3,1,2,10,
11774,1276.5979,36,2,3,2,2,1,1,
1027,442.7468,55,2,1,1,1,1,11,
18751,1466.0116,40,1,2,1,2,4,98,
2589,1203.3604,41,2,4,2,2,3,6,
15375,1317.4113,30,2,2,3,8,8,98,
14985,463.6419,77,2,1,2,3,1,98,
19439,1057.1416,52,2,2,2,3,2,8,
10791,791.1731,80,1,2,1,3,3,12,
126,910.6339,62,2,2,4,5,5,99,
7109,375.9241,72,2,1,2,4,1,5,
4228,580.3834,80,2,1,2,5,3,7,
10906,412.7004,62,1,2,2,3,1,99,
18992,1016.3536,58,1,3,2,5,3,98,
22431,1027.99,54,2,2,1,2,3,98,
10648,420.0244,60,2,1,3,1,2,7,
3241,970.3839,68,2,2,2,1,2,8,
15652,949.1387,46,2,2,2,1,1,9,
4447,474.1542,54,2,1,2,2,4,98,
837,2039.9568,31,2,5,3,4,2,6,
19384,1138.8447,76,2,4,2,2,1,5,
8470,1466.0116,41,1,2,2,4,2,9,
12298,420.0244,60,2,1,2,1,2,9,
2577,1275.245,43,2,2,3,4,3,8,
5634,884.8779,23,2,2,2,4,1,6,
4659,437.7845,47,2,1,4,3,5,98,
4054,959.8972,55,2,2,2,3,3,6,
1980,643.1663,41,1,1,3,1,3,8,
16448,1374.1254,46,1,4,1,1,3,12,
13278,870.775,65,2,2,2,3,3,3,
1957,1662.0884,17,1,4,7,5,1,1,
19456,910.6339,60,2,2,2,1,2,9,
1897,468.2288,61,2,2,1,5,2,5,
14133,395.0588,65,2,1,2,1,3,7,
8553,936.4575,61,2,2,3,2,3,7,
12777,1769.7559,22,2,2,2,1,2,4,
17125,959.1361,80,1,1,2,1,9,99,
16365,965.7852,80,2,2,2,1,1,7,
4812,1203.3604,42,2,3,1,1,1,12,
21554,1585.7125,53,2,3,3,3,1,7,
12345,390.3513,77,1,1,3,5,1,99,
2075,896.3713,77,1,2,2,5,3,6,
17661,896.3713,76,1,2,2,4,2,8,
18442,351.8802,66,1,1,3,2,2,6,
17052,1001.5484,57,1,2,2,1,3,98,
19659,1912.8674,44,2,5,2,1,1,2,
9308,828.599,70,2,2,2,4,5,9,
3860,791.1731,80,1,2,1,1,4,8,
12285,1662.0884,15,1,4,7,5,1,1,
19739,457.1388,80,2,1,2,5,3,5,
18485,808.0293,65,1,2,4,4,4,7,
12472,580.3834,80,2,1,1,5,3,5,
9149,1001.5484,57,1,2,2,1,1,12,
4248,1203.3604,41,2,4,2,1,1,12,
15452,2216.1178,16,1,6,7,5,1,3,
2864,463.6419,75,2,1,4,5,4,5,
316,959.8972,55,2,2,1,4,1,8,
11146,375.9241,70,2,1,9,3,4,7,
2731,870.775,69,2,2,2,2,2,9,
3300,395.0588,65,2,1,3,2,3,7,
19953,936.7976,66,1,2,2,3,2,8,
1339,393.1866,80,2,1,4,5,3,4,
16894,744.642,70,1,2,1,1,2,10,
1177,1279.5814,46,1,4,1,2,1,12,
4001,870.775,66,2,2,3,5,4,4,
20433,1964.641,28,2,3,1,2,1,6,
