RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,
3221,710.9513,23,1,1,2,1,3,5,
20376,2320.18,25,1,3,2,3,3,6,
3944,797.337,32,1,1,2,1,2,8,
5106,2185.7722,28,1,4,1,4,2,11,
4532,1458.3566,31,2,4,1,3,2,8,
3436,2320.18,26,1,3,3,2,3,9,
2109,3309.97,22,2,4,2,2,2,4,
11625,674.7301,49,1,1,2,1,2,7,
22208,900.7625,29,2,1,2,2,1,7,
11405,1658.6857,21,1,2,2,2,3,5,
13209,1842.9635,49,2,3,2,2,4,8,
3915,1391.8859,18,2,4,2,3,1,2,
5281,568.3223,48,2,1,2,4,1,8,
17760,1387.0472,35,1,2,3,2,3,7,
22159,2482.4775,23,2,3,2,1,3,5,
9382,1272.8628,65,2,2,2,2,2,5,
11657,1335.6232,71,1,2,2,1,1,12,
20637,1126.1676,19,1,2,3,3,3,3,
12230,255.9882,40,2,4,4,1,1,98,
13834,1458.3566,32,2,5,1,2,3,1,
8135,1228.6423,46,2,2,2,2,2,8,
21141,1315.9015,57,1,2,1,4,2,8,
1763,593.6984,70,2,1,1,2,2,98,
21297,1458.3566,31,2,4,2,2,3,7,
9597,1505.2494,52,1,2,3,2,4,98,
10025,1194.9795,73,1,2,2,4,2,6,
18248,1126.1676,17,1,2,7,5,1,2,
500,1011.5762,55,2,2,2,2,3,7,
2897,1458.3566,31,2,4,1,1,1,9,
2283,811.1541,80,1,1,2,1,3,7,
8956,593.6984,72,2,1,1,4,3,9,
18436,576.2305,80,2,1,2,2,3,6,
13953,2031.4657,55,1,3,1,2,1,9,
15832,2488.0286,20,1,4,2,2,2,11,
14163,1306.6957,39,1,4,4,2,1,6,
5848,3010.4989,51,1,4,1,2,1,12,
4194,1689.2514,17,1,3,7,5,3,1,
1384,505.7881,59,2,2,2,1,3,9,
10595,520.7374,68,1,1,1,2,1,6,
13583,2257.8742,50,1,3,2,5,1,10,
9799,1033.3143,60,2,2,2,4,4,4,
20263,1315.9015,55,1,2,1,3,1,10,
19608,593.6984,72,2,1,1,1,2,8,
14517,996.9816,80,2,1,2,5,2,5,
19080,2488.0286,21,1,3,1,2,1,5,
11100,614.3212,48,2,2,2,4,1,6,
6801,3773.1511,48,1,5,3,2,3,7,
16349,1120.4707,80,2,1,2,5,4,98,
42,576.2305,80,2,1,3,1,2,6,
3888,590.1464,37,2,6,2,1,3,11,
4432,1472.5057,43,2,4,2,4,3,4,
13666,1306.6957,38,1,6,1,2,3,9,
3286,1180.2928,35,2,4,2,1,2,9,
14306,710.7864,41,1,1,2,1,4,8,
5592,1306.6957,35,1,4,2,1,3,7,
22188,543.3006,52,2,1,3,4,5,4,
5432,614.3212,48,2,2,3,2,5,4,
12458,487.7537,64,2,1,2,3,2,6,
8266,3480.27,25,1,3,2,2,1,7,
6130,750.7784,15,1,5,7,5,1,2,
9649,2815.419,17,1,5,7,3,1,2,
5791,1175.4596,67,2,2,2,5,2,3,
12836,1033.3143,64,2,2,1,1,2,3,
7261,1707.2864,33,1,3,2,2,1,10,
12521,1458.3566,34,2,4,1,3,3,7,
9488,1228.6423,46,2,2,2,2,2,8,
22120,3309.97,24,2,4,1,5,1,4,
4757,1011.5762,56,2,2,2,3,2,7,
3266,1972.6065,63,1,3,1,1,3,7,
529,1500.7182,44,2,2,1,1,3,8,
2445,1462.5597,54,1,2,2,4,2,10,
2732,1032.28,57,2,2,2,2,5,6,
6560,1277.7748,60,1,2,2,4,2,9,
2121,1174.5486,52,2,2,2,2,2,7,
17648,1054.4631,63,2,2,2,2,2,9,
7260,3071.8586,44,2,4,2,1,1,10,
4545,3010.4989,54,1,4,2,5,4,8,
15549,1521.9611,42,1,4,1,1,2,12,
5386,1842.9635,46,2,3,2,1,3,10,
9789,565.6663,79,2,1,3,5,4,4,
16121,1011.5762,59,2,2,2,3,3,98,
14874,1277.7748,60,1,2,1,1,1,9,
3751,1654.985,24,2,4,2,2,2,7,
17893,3071.8586,42,2,5,2,2,1,5,
13343,548.2941,67,2,1,2,5,4,6,
8456,1011.5762,59,2,2,1,4,2,5,
13089,1753.9865,31,1,2,2,2,1,6,
11450,2263.8907,46,1,3,2,5,2,9,
1259,1500.7182,44,2,2,9,1,3,8,
8057,765.7583,67,2,1,2,5,5,4,
2182,758.7843,51,2,1,1,5,3,4,
15770,3887.8702,18,2,4,2,3,3,2,
15439,2145.1089,44,2,2,1,1,2,10,
3477,845.5947,58,1,1,2,1,2,11,
746,2347.9799,25,2,2,2,1,2,9,
16197,1668.9318,73,1,2,3,5,5,99,
12404,1681.5302,45,2,2,3,5,4,1,
1383,804.7748,80,2,1,4,5,4,4,
7050,1648.42,36,2,5,3,2,2,4,
773,2449.6518,31,1,2,2,2,2,8,
20494,3887.8702,15,2,4,7,5,1,2,
6010,790.0207,77,2,1,2,5,3,4,
4117,2460.5963,52,2,3,2,3,4,98,
5531,2573.9189,49,2,3,3,5,2,98,
5553,1472.6838,62,2,2,2,5,4,2,
7374,2162.5537,55,2,3,2,2,3,7,
18529,1648.42,36,2,4,1,2,2,8,
10474,2183.743,41,1,2,2,1,3,98,
20619,1874.8755,39,1,2,3,5,1,3,
16981,2865.2971,50,2,4,3,2,2,9,
18634,1233.864,58,2,2,3,2,2,8,
20497,1412.7871,56,2,2,2,2,3,5,
11775,2359.2416,18,1,5,2,5,3,6,
8094,3467.0767,21,2,3,1,3,1,4,
15294,1777.6166,70,2,2,1,1,3,8,
8838,1412.7871,59,2,2,2,2,1,10,
7893,3593.9922,66,1,4,2,5,3,7,
3382,942.3413,47,1,1,2,5,3,8,
8948,2000.1843,49,1,3,2,2,2,10,
9022,1607.7689,65,1,2,2,1,4,7,
16303,1943.9351,17,2,2,7,5,1,1,
9444,758.7843,53,2,1,3,5,4,5,
16042,681.2064,62,2,1,1,2,2,10,
11546,3932.0693,18,1,5,2,5,1,1,
16492,1641.6699,69,2,2,2,4,2,6,
5569,793.7301,45,2,1,2,2,2,8,
3267,3161.794,46,1,3,3,3,1,11,
8016,1062.2485,32,2,2,3,2,3,6,
19015,1784.5654,62,1,2,4,4,3,6,
10872,2883.405,55,2,4,3,1,3,10,
14623,1648.42,37,2,4,2,2,2,9,
4792,2915.9026,15,2,3,7,5,3,1,
13139,1564.8714,80,2,1,2,5,1,7,
3862,2449.6518,30,1,2,2,1,1,7,
18381,1472.6838,61,2,2,2,1,3,99,
11580,1836.6539,62,1,5,2,3,3,11,
4583,1443.147,62,2,2,2,5,3,5,
12623,1072.5545,43,2,2,1,1,1,12,
18792,6934.1533,22,2,6,2,5,3,3,
1658,1641.6699,65,2,2,1,2,1,4,
12997,1865.3576,74,1,2,2,9,1,99,
429,2666.5577,67,2,3,2,4,2,7,
18856,2460.5963,54,2,3,1,2,1,9,
18996,758.7843,52,2,1,2,2,1,10,
7224,681.2064,60,2,1,8,8,3,98,
290,2347.9799,27,2,2,1,4,2,7,
21594,666.8757,56,2,1,2,2,1,7,
20704,1155.6922,21,2,2,1,2,1,6,
13399,2000.1843,48,1,4,3,4,1,10,
20118,1777.6166,70,2,2,2,5,1,4,
7021,933.6282,75,1,1,2,1,3,7,
21081,3145.6555,18,1,4,2,5,4,3,
7896,2751.0454,75,2,3,1,5,4,4,
10146,1715.9459,49,2,2,2,4,1,10,
10715,4633.106,20,1,4,1,2,2,3,
4619,2905.766,35,1,4,2,1,2,9,
16079,1572.8277,18,1,4,3,5,1,3,
3423,1777.6166,72,2,2,2,5,3,99,
20213,1715.9459,49,2,2,3,2,2,98,
15727,1693.6848,77,2,2,1,5,1,6,
7189,3431.8919,47,2,5,1,1,2,10,
6841,2063.9574,78,1,2,2,5,1,7,
21114,4215.7254,48,1,4,3,5,4,7,
7061,1777.6166,71,2,2,2,5,2,99,
18667,2449.6518,30,1,2,2,5,3,7,
4912,1891.4565,59,1,2,2,4,5,7,
12163,2036.7695,31,2,4,2,2,2,8,
13028,3217.6634,40,2,3,3,5,2,8,
17099,2036.7695,32,2,5,3,2,1,7,
10776,1572.8277,18,1,2,9,4,3,2,
6252,829.1707,72,2,1,1,5,4,99,
14565,939.837,51,1,1,1,2,1,11,
4682,942.3413,48,1,1,2,3,2,12,
14207,2311.3844,20,2,2,1,2,1,3,
5678,1824.9568,36,1,4,1,3,2,11,
16670,1179.6208,18,1,4,2,5,1,8,
4350,2837.1848,57,1,3,2,3,3,8,
19693,1784.5654,60,1,2,1,2,5,98,
13037,2125.6006,44,1,5,2,2,2,12,
21714,2359.2416,15,1,4,7,5,1,1,
13348,360.4256,55,2,2,3,2,5,5,
948,971.3341,33,2,1,2,1,2,11,
10271,3136.1936,29,1,2,3,3,4,3,
19212,4215.7254,48,1,4,2,2,1,7,
17413,666.8757,55,2,1,4,2,4,6,
6117,1648.42,35,2,6,3,3,1,2,
6684,1607.4971,52,2,2,2,4,2,6,
15512,1607.4971,52,2,2,2,4,2,7,
6106,790.0207,79,2,1,2,2,2,98,
7729,1668.9318,70,1,2,2,2,5,10,
22066,3161.794,49,1,3,2,2,3,8,
14408,4204.5217,53,1,5,3,4,2,7,
11574,1412.7871,59,2,2,2,2,1,98,
2834,765.7583,66,2,1,3,1,2,4,
3354,1824.9568,36,1,5,1,1,2,12,
15807,1392.4041,80,2,1,1,1,4,7,
12606,1641.6699,67,2,2,2,1,1,10,
21665,727.272,65,1,1,1,2,3,11,
7747,2063.9574,76,1,2,2,2,4,9,
20997,2209.0257,61,2,4,1,5,2,6,
8594,2048.0825,46,1,2,3,5,4,4,
18744,2754.9808,61,1,3,1,5,3,12,
10178,1640.3975,52,2,3,2,1,2,7,
1254,2695.4942,65,1,3,2,3,2,10,
7506,2915.9026,16,2,4,7,5,2,2,
13696,1681.5302,49,2,2,2,2,2,6,
2103,1472.6838,62,2,2,3,2,3,6,
7116,1113.5765,31,1,1,2,2,3,7,
1802,821.0947,64,1,1,3,5,3,5,
93,3217.6634,41,2,4,2,5,1,1,
4918,790.0207,76,2,1,2,1,1,10,
10570,942.3413,49,1,1,1,1,3,12,
9641,1796.9961,66,1,2,1,3,3,9,
16418,666.8757,58,2,1,2,3,3,7,
14639,1062.2485,30,2,4,2,4,4,4,
13676,1648.42,38,2,4,3,2,3,8,
711,804.7748,80,2,1,1,5,4,6,
9883,681.2064,60,2,1,1,1,2,8,
13692,1641.6699,65,2,2,1,1,1,7,
3660,1648.42,39,2,4,2,1,3,98,
9872,5778.4611,24,2,5,3,2,4,8,
7028,3153.3913,50,1,3,3,2,2,7,
243,1725.3154,80,2,2,2,5,5,98,
1918,2504.4263,80,1,2,2,4,3,6,
13747,2460.5963,50,2,3,2,3,2,99,
10949,765.7583,65,2,1,2,4,3,7,
22228,1392.4041,80,2,1,9,5,4,6,
18412,2000.1843,48,1,4,2,1,2,7,
19915,2209.0257,60,2,3,3,3,3,8,
21402,1641.6699,68,2,2,2,5,3,6,
19950,2125.6006,44,1,4,3,5,3,8,
15009,1648.42,36,2,4,4,2,3,10,
6580,3052.6922,27,1,3,2,2,2,8,
13825,1874.8755,36,1,2,2,2,1,98,
3890,2125.6006,43,1,3,2,3,3,8,
13358,845.5947,58,1,1,2,2,3,7,
21840,2209.0257,63,2,4,1,2,3,99,
465,2125.6006,42,1,5,3,2,4,7,
11153,2666.5577,69,2,3,2,3,3,4,
4499,918.9069,55,1,2,2,3,2,7,
21205,2125.6006,42,1,4,2,2,2,9,
6333,3153.3913,50,1,4,2,1,1,12,
17279,2905.766,36,1,3,2,2,1,8,
9005,1715.9459,45,2,3,2,2,2,3,
5133,859.7103,37,2,2,4,4,1,98,
4913,829.1707,74,2,1,2,4,3,7,
1386,1891.4565,56,1,2,2,4,2,7,
7719,2311.3844,23,2,2,2,1,2,4,
16671,2306.8759,77,1,2,1,1,1,9,
16489,1425.6685,28,1,1,2,2,2,8,
6156,1443.147,62,2,2,2,4,2,3,
13013,2075.793,31,2,2,1,2,3,9,
1948,1640.3975,52,2,2,2,1,2,98,
19712,2798.0363,70,1,3,2,5,2,7,
553,1412.7871,59,2,2,3,1,1,9,
15537,666.8757,55,2,1,2,2,1,11,
12598,2384.4297,31,1,3,2,5,3,7,
21080,793.7301,45,2,1,3,2,2,8,
7011,980.758,43,2,1,3,4,2,8,
15593,1715.9459,46,2,3,2,3,1,10,
3271,2573.9189,47,2,3,2,2,3,6,
20533,2883.405,59,2,4,2,4,2,6,
7937,1018.3847,34,2,4,4,5,5,6,
1321,4204.5217,52,1,5,3,3,2,11,
3612,1784.5654,61,1,2,2,2,2,10,
17476,3474.8295,20,1,3,2,3,2,5,
18867,820.1988,50,2,2,3,4,1,6,
20492,2460.5963,52,2,3,2,1,1,98,
20975,2915.9026,15,2,4,7,5,2,2,
10489,2125.6006,40,1,4,1,1,2,12,
2771,1607.4971,54,2,2,2,1,2,98,
13166,2036.7695,34,2,4,2,3,3,7,
11201,4633.106,22,1,4,2,2,2,7,
17033,1062.2485,31,2,2,3,2,1,6,
5578,2125.6006,43,1,3,2,5,2,7,
13523,1258.0225,27,2,1,2,5,3,5,
20438,1607.7689,65,1,2,2,5,2,10,
3931,1777.6166,70,2,2,3,5,5,98,
12629,681.2064,62,2,1,2,1,2,9,
13645,933.6282,75,1,1,3,2,3,6,
4730,2125.6006,40,1,4,1,1,2,12,
12327,1392.4041,80,2,1,2,3,3,98,
2588,1837.8138,55,1,2,1,2,3,11,
5748,2151.199,24,2,2,1,1,2,4,
16940,1472.6838,63,2,3,2,5,4,5,
12176,1425.6685,28,1,1,3,1,1,5,
15517,758.7843,54,2,1,2,1,2,9,
15109,2883.405,55,2,4,2,8,4,1,
12859,845.5947,55,1,1,3,2,2,7,
12253,2000.1843,48,1,3,3,4,3,6,
19881,2125.6006,40,1,5,2,1,4,4,
11154,765.7583,66,2,1,2,2,3,5,
4398,2125.6006,41,1,4,2,1,2,11,
10774,1412.7871,58,2,2,2,3,2,9,
3804,3887.8702,17,2,6,7,5,2,2,
19984,2311.3844,23,2,2,2,1,1,5,
2925,845.5947,57,1,1,2,1,4,6,
653,942.3413,49,1,1,1,1,2,12,
4585,1824.9568,36,1,4,2,1,2,12,
6140,1037.6821,23,2,1,2,1,3,4,
21589,6327.6335,31,1,5,2,2,2,11,
16410,2063.9574,79,1,2,2,5,4,6,
7138,1375.7702,29,2,3,4,2,2,3,
14236,1607.7689,68,1,2,2,5,3,5,
11938,2162.5537,58,2,3,2,4,2,1,
15255,5791.3825,20,1,6,9,5,3,99,
21473,3186.7454,33,2,4,2,1,1,98,
20591,1412.7871,57,2,2,2,4,3,1,
15325,2162.5537,59,2,3,2,5,3,5,
599,3161.794,46,1,3,2,4,2,8,
3097,1784.5654,62,1,2,1,5,1,6,
7534,793.7301,47,2,1,3,5,5,3,
12313,758.7843,50,2,1,2,4,2,6,
9826,1824.9568,38,1,3,3,3,1,5,
9816,1668.9318,71,1,2,8,5,3,98,
20120,859.7103,36,2,2,3,2,3,98,
12695,1392.4041,80,2,1,2,5,3,98,
4012,681.2064,60,2,1,1,3,2,9,
15994,1648.42,35,2,4,4,1,2,4,
1347,829.1707,73,2,1,4,4,5,4,
1458,1668.9318,72,1,2,2,5,3,6,
11259,1648.42,35,2,5,2,2,2,5,
21897,765.7583,65,2,1,3,5,4,5,
18965,2042.6396,50,1,2,2,4,3,8,
7783,3051.0001,80,1,2,2,1,4,6,
12366,1412.7871,57,2,2,1,3,2,1,
8593,992.6982,43,1,1,3,2,2,6,
17865,1681.5302,49,2,2,2,2,8,98,
10250,1640.3975,54,2,2,2,1,2,98,
16186,2306.8759,78,1,2,2,1,2,7,
17411,1392.4041,80,2,1,2,5,2,7,
10964,1412.7871,56,2,2,2,4,2,6,
2146,1924.9169,72,2,2,1,2,2,9,
1172,790.0207,79,2,1,2,4,3,4,
5192,939.837,54,1,1,3,2,4,7,
22079,666.8757,56,2,1,3,4,4,1,
7844,1047.9662,42,2,2,3,2,1,10,
3405,1865.3576,70,1,2,2,1,1,4,
16474,1693.6848,79,2,2,2,4,3,4,
1824,727.272,67,1,1,1,4,2,9,
21159,2460.5963,53,2,3,2,5,3,5,
19475,2573.9189,45,2,5,1,1,1,10,
10215,1874.8755,35,1,2,3,2,3,98,
8381,1943.9351,19,2,2,2,3,3,3,
8701,790.0207,75,2,1,3,5,4,6,
7887,4204.5217,50,1,5,2,1,2,11,
2394,2460.5963,50,2,3,2,9,2,8,
16573,1824.9568,35,1,4,1,1,2,12,
15768,859.7103,39,2,3,3,3,3,6,
10213,3280.7951,53,2,4,1,3,3,6,
18471,821.0947,63,1,1,3,2,2,4,
12160,852.2914,36,1,1,1,1,3,12,
6649,754.9389,72,1,1,1,1,2,12,
4846,681.2064,62,2,1,1,1,2,12,
7483,2063.9574,76,1,2,2,4,3,98,
19732,2316.553,21,1,2,2,2,1,5,
22007,2036.7695,31,2,3,2,1,2,1,
13688,845.5947,56,1,1,4,4,5,4,
19535,765.7583,66,2,1,2,2,2,98,
2664,933.6282,75,1,1,2,1,5,6,
19486,1668.9318,70,1,2,2,5,3,6,
13033,2504.4263,80,1,2,9,5,4,6,
12069,765.7583,69,2,1,3,1,4,5,
18156,2125.6006,43,1,3,2,4,2,9,
7237,2666.5577,67,2,3,4,5,4,4,
4921,2449.6518,34,1,2,1,1,1,7,
8968,1693.6848,75,2,2,2,5,4,4,
3847,859.7103,38,2,2,2,2,2,9,
11538,1375.7702,29,2,2,1,2,1,6,
19271,933.6282,75,1,1,1,4,2,6,
1009,790.0207,79,2,1,3,5,5,98,
4379,681.2064,61,2,1,2,2,2,98,
341,4289.8648,48,2,5,2,5,3,5,
7344,786.1305,39,2,1,2,1,2,10,
12948,968.5887,37,1,3,2,1,3,10,
17707,3474.8295,20,1,3,3,3,2,5,
8787,857.973,48,2,2,1,1,2,12,
15746,4728.6413,59,1,6,2,2,2,7,
8424,3217.6634,44,2,4,2,2,1,7,
3491,3217.6634,40,2,4,4,2,5,8,
11517,2125.6006,42,1,4,2,1,3,12,
3386,1837.8138,55,1,2,1,3,2,11,
18298,3782.913,59,1,6,1,3,1,8,
1005,1865.3576,72,1,2,1,1,2,6,
3893,829.1707,74,2,1,2,4,3,5,
17513,2460.5963,50,2,3,3,2,3,1,
1985,804.7748,80,2,1,2,5,3,99,
11300,2905.766,39,1,3,2,3,3,7,
11721,1784.5654,64,1,2,2,5,3,7,
18899,2637.9202,25,2,3,2,1,3,5,
19368,2531.0534,31,1,2,2,3,3,5,
528,2125.6006,42,1,3,9,1,1,4,
929,1824.9568,37,1,4,2,2,2,9,
18500,790.0207,76,2,1,3,1,3,7,
13441,2050.4969,50,2,5,2,2,3,3,
2080,2125.6006,42,1,4,3,3,2,1,
3991,2042.6396,54,1,2,1,1,3,12,
19538,3280.7951,50,2,4,2,2,2,10,
17212,3384.4626,42,1,4,1,1,1,11,
18071,2056.5303,42,2,4,2,2,3,2,
22303,2209.0257,64,2,3,1,4,4,98,
11468,765.7583,66,2,1,2,3,2,7,
6479,1441.7025,59,2,2,2,1,1,10,
20889,1693.6848,75,2,2,3,2,2,3,
17831,2384.4297,30,1,4,2,2,1,9,
4365,1234.7867,80,1,1,1,5,2,98,
11989,1834.0302,79,2,2,3,5,4,5,
1124,2042.6396,50,1,2,3,5,2,98,
461,2384.4297,32,1,3,3,4,3,4,
8815,765.7583,66,2,1,2,5,3,5,
4386,859.7103,38,2,3,3,2,9,5,
13822,765.7583,66,2,1,3,4,2,6,
13060,681.2064,64,2,1,3,5,3,7,
20578,939.837,50,1,1,2,3,2,7,
2078,2107.8627,46,1,2,2,4,4,3,
8969,2384.4297,33,1,3,4,2,3,3,
21361,939.837,53,1,1,2,1,3,10,
12428,845.5947,58,1,1,3,5,4,6,
14181,1392.4041,80,2,1,2,1,2,99,
4201,1737.4147,22,1,3,2,2,1,98,
18886,829.1707,71,2,1,2,2,2,7,
11742,992.9285,20,1,1,1,3,3,1,
3118,1837.8138,59,1,2,2,1,3,98,
39,1113.5765,30,1,1,2,1,1,10,
4385,2000.1843,45,1,4,2,1,2,12,
1950,1648.42,37,2,4,2,1,1,8,
13707,727.272,69,1,1,2,1,1,98,
5883,666.8757,56,2,1,4,4,5,3,
10737,821.0947,60,1,1,3,2,5,4,
13557,821.0947,64,1,1,3,4,5,3,
17779,2125.6006,40,1,3,1,1,1,12,
15933,2688.4615,29,2,2,1,1,1,10,
7,992.6982,44,1,1,1,2,3,3,
20303,681.2064,64,2,1,1,2,2,7,
21060,2125.6006,44,1,4,2,2,2,8,
15570,681.2064,61,2,1,1,1,1,11,
20825,1794.8331,56,1,3,2,1,3,10,
11946,1037.8965,32,2,2,1,1,1,10,
5786,794.8099,30,1,4,1,1,1,98,
7498,1113.5765,30,1,1,3,1,3,10,
18126,790.0207,79,2,1,1,3,1,9,
3146,666.8757,59,2,1,4,1,1,5,
20530,1047.9662,44,2,2,2,1,1,6,
19081,653.5686,72,1,1,3,2,5,4,
21969,1493.6466,80,2,2,2,3,3,98,
8179,732.0515,59,1,1,1,1,1,12,
2395,1234.2352,25,1,1,2,5,3,12,
5666,2456.2184,56,1,3,2,2,2,7,
7135,656.8976,50,2,1,3,2,2,6,
14045,1223.0835,56,2,2,3,5,3,1,
16126,2723.2688,19,1,4,1,3,1,2,
6909,1391.8839,69,1,2,2,5,1,6,
21460,1727.0053,51,1,4,2,1,1,9,
4987,653.5686,73,1,1,3,3,2,5,
2148,1763.2798,31,2,4,2,2,4,4,
19,1361.6344,15,1,3,7,5,2,1,
10500,2729.9659,52,1,3,2,3,3,7,
14752,1544.9407,62,1,2,2,2,4,9,
19227,1223.0835,55,2,2,2,2,1,9,
22114,1763.2798,31,2,6,2,3,3,3,
7473,683.9397,76,2,1,2,3,4,7,
21555,2456.2184,59,1,3,1,1,2,10,
8412,2042.4516,18,1,3,2,2,1,4,
17192,734.286,46,2,2,2,2,1,11,
10723,1579.9085,37,1,4,2,3,1,9,
17455,1797.0634,31,2,2,1,1,1,12,
5333,1579.9085,37,1,4,3,1,1,8,
19425,1249.3667,64,2,2,2,3,3,3,
4039,1391.6485,53,2,2,2,5,1,5,
14032,710.8412,61,1,1,2,1,2,8,
11358,1205.4374,80,2,1,1,4,3,5,
19001,1590.035,61,1,2,2,4,3,7,
9439,898.3461,23,2,1,2,3,1,6,
6219,1780.3873,40,2,3,1,1,1,10,
13720,1768.3617,54,1,2,2,1,2,11,
724,1223.0835,55,2,2,1,4,2,7,
825,2130.1968,51,2,4,2,1,3,10,
14612,1249.3667,60,2,2,2,4,2,5,
10805,1763.2798,30,2,3,2,1,3,10,
5042,1763.2798,32,2,4,1,1,1,8,
20314,1579.9085,35,1,4,1,2,2,10,
11984,710.8412,63,1,1,2,2,2,8,
5898,1538.925,70,2,2,2,5,3,3,
12553,662.9352,66,2,1,2,5,3,98,
11249,653.5686,73,1,1,2,2,2,10,
15273,656.8976,54,2,1,3,4,4,7,
3794,3649.6538,48,1,4,1,2,3,12,
17712,1544.9407,60,1,2,3,2,3,7,
16147,1391.6485,53,2,2,2,4,2,6,
6431,1591.0391,57,1,2,2,4,3,6,
4339,964.0497,30,1,1,2,2,3,6,
7092,1421.2327,68,2,2,2,3,1,7,
13152,2977.0866,39,2,5,2,2,1,8,
22020,1623.1243,36,1,2,3,2,3,7,
717,2232.8149,39,2,5,2,2,4,10,
1065,1587.7636,77,2,2,3,3,3,6,
18782,653.5686,70,1,1,3,5,4,4,
3655,1591.0391,57,1,2,2,3,3,9,
5794,1840.1831,42,1,4,2,4,1,10,
14620,1391.6485,52,2,2,2,2,3,7,
8863,717.8329,71,2,1,4,2,2,4,
22028,1421.2327,65,2,2,1,4,1,3,
17530,2228.3029,46,2,3,2,2,2,8,
18125,1538.925,71,2,2,2,5,1,6,
19175,662.9352,65,2,1,2,2,3,8,
9510,1579.9085,37,1,4,2,2,3,6,
5690,662.9352,66,2,1,2,2,4,6,
8458,1493.6466,80,2,2,2,5,3,3,
1406,1427.0764,39,2,3,2,1,1,8,
13064,629.6167,66,1,1,1,5,3,5,
11595,1591.0391,55,1,2,2,4,2,10,
18700,662.9352,65,2,1,4,2,3,6,
21419,1797.0634,32,2,2,1,1,1,12,
21724,710.0656,51,2,3,2,1,1,10,
2223,3008.2426,23,1,3,2,3,3,3,
8977,840.907,33,2,1,1,3,2,7,
10392,589.7366,61,2,1,3,2,2,7,
4418,2327.4651,25,2,2,2,1,2,8,
9364,687.151,46,2,1,3,1,5,98,
20200,1797.0634,30,2,2,3,1,2,9,
552,2810.1608,44,2,4,2,2,2,98,
18271,1814.4986,44,2,2,3,4,3,5,
13695,5013.7377,20,1,5,2,2,2,5,
22304,717.8329,72,2,1,2,4,2,98,
20666,1591.0391,56,1,2,2,4,1,5,
17999,2001.0205,24,2,2,2,2,1,4,
241,4010.9901,20,1,4,2,3,1,6,
6798,1421.2327,68,2,2,2,1,2,6,
5410,2120.7219,32,1,2,2,2,4,7,
12373,859.6019,21,1,1,2,2,1,4,
7682,1249.3667,62,2,2,2,2,2,4,
8293,1444.834,73,1,2,3,5,3,98,
9773,724.16,71,2,1,3,5,3,7,
14828,1873.4405,44,2,3,3,5,3,10,
9541,1604.0499,60,1,2,1,2,1,98,
17898,1812.9031,31,2,2,2,5,4,4,
6462,2347.9799,28,2,2,2,2,1,7,
16956,2082.4523,31,1,3,3,2,4,1,
19192,717.1067,60,1,1,2,5,1,6,
7010,1433.7597,66,2,2,2,5,4,99,
3029,2997.2581,45,2,5,2,2,2,7,
4287,717.1067,60,1,1,3,4,2,5,
7877,331.3438,53,2,1,2,1,1,8,
6821,1783.9484,54,1,2,2,1,1,8,
6469,1417.6853,19,1,2,4,3,5,4,
19824,738.504,58,1,1,1,1,2,9,
1982,689.9681,79,2,1,3,5,2,4,
5745,1216.0624,80,2,1,2,5,3,4,
1389,717.1067,61,1,1,2,4,3,6,
9989,2997.2581,49,2,4,2,5,3,1,
18239,1778.8217,31,2,4,2,2,1,8,
9536,1439.655,37,2,5,2,2,2,10,
21989,1856.4028,40,1,4,3,2,3,6,
8569,1373.6361,15,1,3,7,5,2,2,
13223,1778.8217,33,2,4,1,1,1,12,
13850,1439.655,39,2,4,1,2,3,5,
21908,1593.8342,36,1,4,2,2,2,9,
625,2754.0284,52,1,4,2,5,2,6,
14131,1457.5691,71,1,2,3,5,3,4,
18754,7075.064,25,1,5,2,4,1,7,
13795,2997.2581,48,2,4,2,4,3,6,
18144,702.8537,80,2,1,1,5,3,5,
45,668.7784,67,2,1,2,5,3,8,
5263,2739.0087,26,1,2,2,5,1,6,
22417,717.1067,60,1,1,3,2,4,3,
5712,822.998,49,1,1,2,3,4,99,
16874,3027.9869,20,2,3,1,3,3,3,
18274,662.6877,51,2,1,2,4,3,7,
2975,1593.8342,39,1,4,2,2,2,9,
18054,662.6877,54,2,1,2,2,2,9,
19029,2018.658,23,2,3,2,2,1,6,
21860,1605.0629,56,1,2,3,5,3,7,
5132,1366.6874,80,2,1,2,5,4,99,
2246,920.4557,46,1,2,2,3,1,11,
13398,724.16,72,2,1,3,5,3,5,
1299,1233.864,57,2,2,2,4,1,7,
3960,1403.9148,51,2,2,2,2,3,3,
12014,1552.5667,69,2,2,2,5,3,5,
9377,2060.4542,15,1,5,7,5,2,1,
19076,724.16,70,2,1,2,5,4,4,
11834,820.8108,50,1,1,2,1,1,10,
11336,2187.252,80,1,2,2,5,3,99,
5084,2139.4144,30,1,2,1,1,2,12,
16069,1444.489,49,2,3,2,5,3,3,
5535,1233.864,59,2,2,3,4,3,4,
21905,815.3884,77,1,1,1,4,3,6,
5407,1907.1817,44,1,2,2,5,1,6,
11366,738.504,57,1,1,2,1,1,7,
19041,1605.0629,57,1,2,3,2,3,8,
17300,1907.1817,44,1,2,2,4,3,7,
1395,2303.8394,28,2,3,1,1,1,6,
