,RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,hsd_dif_sqr
6392,20919,268.4079,59,1,1,4,1,5,6,2.231784287908177
6393,17170,491.0265,65,2,2,2,3,4,6,0.24395277464764714
6394,13754,741.3777,50,2,2,1,4,1,8,0.24395277464764714
6395,13991,674.8727,35,2,4,4,2,2,8,2.268289748126587
6396,18065,703.951,47,1,2,3,5,4,1,0.24395277464764714
6397,9129,228.0737,69,2,1,1,1,2,8,2.231784287908177
6398,14635,741.3777,51,2,2,3,5,2,5,0.24395277464764714
6399,14604,674.8727,35,2,3,3,4,4,3,0.25612126138711716
6400,4567,1089.7435,64,1,3,2,4,1,4,0.25612126138711716
6401,7953,450.9813,53,1,1,2,1,3,10,2.231784287908177
6402,17578,1978.7315,25,1,3,8,3,3,98,0.25612126138711716
6403,1148,1126.8825,21,2,2,2,2,2,6,0.24395277464764714
6404,14357,604.6142,80,2,1,2,5,3,5,2.231784287908177
6405,18199,1611.2487,16,2,4,7,2,1,2,2.268289748126587
6406,13213,1058.501,38,2,5,2,1,1,10,6.280458234866058
6407,10524,450.9813,50,1,1,1,2,2,7,2.231784287908177
6408,16770,534.101,68,2,2,2,5,2,4,0.24395277464764714
6409,15440,274.9476,63,2,1,1,5,4,6,2.231784287908177
6410,13177,492.4835,52,1,2,3,2,3,7,0.24395277464764714
6411,14416,815.9174,66,1,2,2,5,3,7,0.24395277464764714
6412,2758,1710.483,39,1,3,1,1,1,8,0.25612126138711716
6413,13103,1058.501,37,2,5,2,4,2,3,6.280458234866058
6414,16806,584.5331,60,2,2,2,2,2,6,0.24395277464764714
6415,6322,491.0265,67,2,2,2,1,3,7,0.24395277464764714
6416,1521,1090.8319,48,2,3,1,2,3,7,0.25612126138711716
6417,14365,1301.6917,80,2,2,2,4,3,10,0.24395277464764714
6418,15221,297.8154,70,2,1,2,5,3,4,2.231784287908177
6419,5264,704.7671,62,1,2,3,3,4,4,0.24395277464764714
6420,16488,534.101,68,2,2,2,2,3,7,0.24395277464764714
6421,3403,378.7252,52,2,2,3,1,3,98,0.24395277464764714
6422,2830,228.0737,68,2,1,3,5,3,98,2.231784287908177
6423,13968,320.5878,73,2,2,1,5,3,5,0.24395277464764714
6424,19861,491.0265,65,2,2,2,4,2,6,0.24395277464764714
6425,16643,584.5331,63,2,2,2,5,3,2,0.24395277464764714
6426,15488,597.2054,62,2,2,2,2,3,98,0.24395277464764714
6427,12658,274.9476,63,2,1,3,2,2,4,2.231784287908177
6428,3444,274.9476,60,2,1,3,5,3,3,2.231784287908177
6429,3523,408.1282,43,1,1,2,2,3,98,2.231784287908177
6430,8521,704.7671,63,1,2,3,2,3,7,0.24395277464764714
6431,3501,674.8727,37,2,4,2,1,3,7,2.268289748126587
6432,2030,366.5501,75,1,1,1,1,1,9,2.231784287908177
6433,19990,1523.0014,54,1,3,2,2,2,9,0.25612126138711716
6434,12685,412.4075,80,2,1,2,2,5,5,2.231784287908177
6435,16823,597.2054,62,2,2,2,1,3,98,0.24395277464764714
6436,20668,274.9476,60,2,1,4,3,4,3,2.231784287908177
6437,2851,322.3141,47,1,1,2,2,3,9,2.231784287908177
6438,16999,1431.2212,31,1,4,2,5,3,9,2.268289748126587
6439,1751,711.7901,46,2,2,2,2,3,8,0.24395277464764714
6440,6638,1090.8319,45,2,3,2,4,3,6,0.25612126138711716
6441,9130,351.7023,79,2,1,3,5,4,5,2.231784287908177
6442,6338,1126.8825,20,2,2,2,3,3,2,0.24395277464764714
6443,20092,697.4216,73,2,2,3,4,1,4,0.24395277464764714
6444,9610,268.4079,59,1,1,3,1,2,7,2.231784287908177
6445,8741,674.8727,36,2,5,2,4,2,9,6.280458234866058
6446,2908,334.8057,48,2,1,3,3,5,4,2.231784287908177
6447,4176,2044.6070000000002,19,1,4,2,3,3,4,2.268289748126587
6448,17951,285.5378,55,2,1,4,2,5,5,2.231784287908177
6449,9928,491.0265,65,2,2,2,2,3,5,0.24395277464764714
6450,2499,320.9203,36,2,1,2,3,2,8,2.231784287908177
6451,255,1069.612,80,1,2,2,5,2,9,0.24395277464764714
6452,19809,412.4075,80,2,1,1,2,3,6,2.231784287908177
6453,16066,297.8154,70,2,1,2,2,3,98,2.231784287908177
6454,10371,704.7671,61,1,2,1,1,2,9,0.24395277464764714
6455,21421,796.0333,72,1,2,2,5,1,8,0.24395277464764714
6456,4468,741.3777,50,2,2,2,3,2,6,0.24395277464764714
6457,4970,960.6355,53,1,3,2,2,2,12,0.25612126138711716
6458,17440,1101.7936,40,2,6,2,1,3,3,12.292626721605528
6459,12094,1710.483,35,1,3,3,4,2,3,0.25612126138711716
6460,4392,274.9476,64,2,1,1,2,3,10,2.231784287908177
6461,1673,607.0477,55,2,2,3,5,4,3,0.24395277464764714
6462,6898,604.6142,80,2,1,2,5,3,6,2.231784287908177
6463,8114,322.6878,63,1,1,3,5,3,9,2.231784287908177
