,RECID,WGHT_PER,AGEC,SEX,HSDSIZEC,FR_Q140,EDU5,SRH_Q110,INCMC,hsd_dif_sqr
0,3221,710.9513,23,1,1,2,1,3,5,2.231784287908177
1,20376,2320.18,25,1,3,2,3,3,6,0.25612126138711716
2,3944,797.337,32,1,1,2,1,2,8,2.231784287908177
3,5106,2185.7722,28,1,4,1,4,2,11,2.268289748126587
4,4532,1458.3566,31,2,4,1,3,2,8,2.268289748126587
5,3436,2320.18,26,1,3,3,2,3,9,0.25612126138711716
6,2109,3309.97,22,2,4,2,2,2,4,2.268289748126587
7,11625,674.7301,49,1,1,2,1,2,7,2.231784287908177
8,22208,900.7625,29,2,1,2,2,1,7,2.231784287908177
9,11405,1658.6857,21,1,2,2,2,3,5,0.24395277464764714
10,13209,1842.9635,49,2,3,2,2,4,8,0.25612126138711716
11,3915,1391.8859,18,2,4,2,3,1,2,2.268289748126587
12,5281,568.3223,48,2,1,2,4,1,8,2.231784287908177
13,17760,1387.0472,35,1,2,3,2,3,7,0.24395277464764714
14,22159,2482.4775,23,2,3,2,1,3,5,0.25612126138711716
15,9382,1272.8628,65,2,2,2,2,2,5,0.24395277464764714
16,11657,1335.6232,71,1,2,2,1,1,12,0.24395277464764714
17,20637,1126.1676,19,1,2,3,3,3,3,0.24395277464764714
18,12230,255.9882,40,2,4,4,1,1,98,2.268289748126587
19,13834,1458.3566,32,2,5,1,2,3,1,6.280458234866058
20,8135,1228.6423,46,2,2,2,2,2,8,0.24395277464764714
21,21141,1315.9015,57,1,2,1,4,2,8,0.24395277464764714
22,1763,593.6984,70,2,1,1,2,2,98,2.231784287908177
23,21297,1458.3566,31,2,4,2,2,3,7,2.268289748126587
24,9597,1505.2494,52,1,2,3,2,4,98,0.24395277464764714
25,10025,1194.9795,73,1,2,2,4,2,6,0.24395277464764714
26,18248,1126.1676,17,1,2,7,5,1,2,0.24395277464764714
27,500,1011.5762,55,2,2,2,2,3,7,0.24395277464764714
28,2897,1458.3566,31,2,4,1,1,1,9,2.268289748126587
29,2283,811.1541,80,1,1,2,1,3,7,2.231784287908177
30,8956,593.6984,72,2,1,1,4,3,9,2.231784287908177
31,18436,576.2305,80,2,1,2,2,3,6,2.231784287908177
32,13953,2031.4657,55,1,3,1,2,1,9,0.25612126138711716
33,15832,2488.0286,20,1,4,2,2,2,11,2.268289748126587
34,14163,1306.6957,39,1,4,4,2,1,6,2.268289748126587
35,5848,3010.4989,51,1,4,1,2,1,12,2.268289748126587
36,4194,1689.2514,17,1,3,7,5,3,1,0.25612126138711716
37,1384,505.7881,59,2,2,2,1,3,9,0.24395277464764714
38,10595,520.7374,68,1,1,1,2,1,6,2.231784287908177
39,13583,2257.8742,50,1,3,2,5,1,10,0.25612126138711716
40,9799,1033.3143,60,2,2,2,4,4,4,0.24395277464764714
41,20263,1315.9015,55,1,2,1,3,1,10,0.24395277464764714
42,19608,593.6984,72,2,1,1,1,2,8,2.231784287908177
43,14517,996.9816,80,2,1,2,5,2,5,2.231784287908177
44,19080,2488.0286,21,1,3,1,2,1,5,0.25612126138711716
45,11100,614.3212,48,2,2,2,4,1,6,0.24395277464764714
46,6801,3773.1511,48,1,5,3,2,3,7,6.280458234866058
47,16349,1120.4707,80,2,1,2,5,4,98,2.231784287908177
48,42,576.2305,80,2,1,3,1,2,6,2.231784287908177
49,3888,590.1464,37,2,6,2,1,3,11,12.292626721605528
50,4432,1472.5057,43,2,4,2,4,3,4,2.268289748126587
51,13666,1306.6957,38,1,6,1,2,3,9,12.292626721605528
52,3286,1180.2928,35,2,4,2,1,2,9,2.268289748126587
53,14306,710.7864,41,1,1,2,1,4,8,2.231784287908177
54,5592,1306.6957,35,1,4,2,1,3,7,2.268289748126587
55,22188,543.3006,52,2,1,3,4,5,4,2.231784287908177
56,5432,614.3212,48,2,2,3,2,5,4,0.24395277464764714
57,12458,487.7537,64,2,1,2,3,2,6,2.231784287908177
58,8266,3480.27,25,1,3,2,2,1,7,0.25612126138711716
59,6130,750.7784,15,1,5,7,5,1,2,6.280458234866058
60,9649,2815.4190000000003,17,1,5,7,3,1,2,6.280458234866058
61,5791,1175.4596,67,2,2,2,5,2,3,0.24395277464764714
62,12836,1033.3143,64,2,2,1,1,2,3,0.24395277464764714
63,7261,1707.2864,33,1,3,2,2,1,10,0.25612126138711716
64,12521,1458.3566,34,2,4,1,3,3,7,2.268289748126587
65,9488,1228.6423,46,2,2,2,2,2,8,0.24395277464764714
66,22120,3309.97,24,2,4,1,5,1,4,2.268289748126587
67,4757,1011.5762,56,2,2,2,3,2,7,0.24395277464764714
68,3266,1972.6065,63,1,3,1,1,3,7,0.25612126138711716
69,529,1500.7182,44,2,2,1,1,3,8,0.24395277464764714
70,2445,1462.5597,54,1,2,2,4,2,10,0.24395277464764714
71,2732,1032.28,57,2,2,2,2,5,6,0.24395277464764714
72,6560,1277.7748,60,1,2,2,4,2,9,0.24395277464764714
73,2121,1174.5486,52,2,2,2,2,2,7,0.24395277464764714
74,17648,1054.4631,63,2,2,2,2,2,9,0.24395277464764714
75,7260,3071.8586,44,2,4,2,1,1,10,2.268289748126587
76,4545,3010.4989,54,1,4,2,5,4,8,2.268289748126587
77,15549,1521.9611,42,1,4,1,1,2,12,2.268289748126587
78,5386,1842.9635,46,2,3,2,1,3,10,0.25612126138711716
79,9789,565.6663,79,2,1,3,5,4,4,2.231784287908177
80,16121,1011.5762,59,2,2,2,3,3,98,0.24395277464764714
81,14874,1277.7748,60,1,2,1,1,1,9,0.24395277464764714
82,3751,1654.985,24,2,4,2,2,2,7,2.268289748126587
83,17893,3071.8586,42,2,5,2,2,1,5,6.280458234866058
84,13343,548.2941,67,2,1,2,5,4,6,2.231784287908177
85,8456,1011.5762,59,2,2,1,4,2,5,0.24395277464764714
86,13089,1753.9865,31,1,2,2,2,1,6,0.24395277464764714
87,11450,2263.8907,46,1,3,2,5,2,9,0.25612126138711716
88,1259,1500.7182,44,2,2,9,1,3,8,0.24395277464764714
89,8057,765.7583,67,2,1,2,5,5,4,2.231784287908177
90,2182,758.7843,51,2,1,1,5,3,4,2.231784287908177
91,15770,3887.8702,18,2,4,2,3,3,2,2.268289748126587
92,15439,2145.1089,44,2,2,1,1,2,10,0.24395277464764714
93,3477,845.5947,58,1,1,2,1,2,11,2.231784287908177
94,746,2347.9799,25,2,2,2,1,2,9,0.24395277464764714
95,16197,1668.9318,73,1,2,3,5,5,99,0.24395277464764714
96,12404,1681.5302,45,2,2,3,5,4,1,0.24395277464764714
97,1383,804.7748,80,2,1,4,5,4,4,2.231784287908177
98,7050,1648.42,36,2,5,3,2,2,4,6.280458234866058
99,773,2449.6518,31,1,2,2,2,2,8,0.24395277464764714
100,20494,3887.8702,15,2,4,7,5,1,2,2.268289748126587
101,6010,790.0207,77,2,1,2,5,3,4,2.231784287908177
102,4117,2460.5963,52,2,3,2,3,4,98,0.25612126138711716
103,5531,2573.9189,49,2,3,3,5,2,98,0.25612126138711716
104,5553,1472.6838,62,2,2,2,5,4,2,0.24395277464764714
105,7374,2162.5537,55,2,3,2,2,3,7,0.25612126138711716
106,18529,1648.42,36,2,4,1,2,2,8,2.268289748126587
107,10474,2183.743,41,1,2,2,1,3,98,0.24395277464764714
108,20619,1874.8755,39,1,2,3,5,1,3,0.24395277464764714
109,16981,2865.2971,50,2,4,3,2,2,9,2.268289748126587
110,18634,1233.864,58,2,2,3,2,2,8,0.24395277464764714
111,20497,1412.7871,56,2,2,2,2,3,5,0.24395277464764714
112,11775,2359.2416,18,1,5,2,5,3,6,6.280458234866058
113,8094,3467.0767,21,2,3,1,3,1,4,0.25612126138711716
114,15294,1777.6166,70,2,2,1,1,3,8,0.24395277464764714
115,8838,1412.7871,59,2,2,2,2,1,10,0.24395277464764714
116,7893,3593.9922,66,1,4,2,5,3,7,2.268289748126587
117,3382,942.3413,47,1,1,2,5,3,8,2.231784287908177
118,8948,2000.1843,49,1,3,2,2,2,10,0.25612126138711716
119,9022,1607.7689,65,1,2,2,1,4,7,0.24395277464764714
120,16303,1943.9351,17,2,2,7,5,1,1,0.24395277464764714
121,9444,758.7843,53,2,1,3,5,4,5,2.231784287908177
122,16042,681.2064,62,2,1,1,2,2,10,2.231784287908177
123,11546,3932.0693,18,1,5,2,5,1,1,6.280458234866058
124,16492,1641.6699,69,2,2,2,4,2,6,0.24395277464764714
125,5569,793.7301,45,2,1,2,2,2,8,2.231784287908177
126,3267,3161.7940000000003,46,1,3,3,3,1,11,0.25612126138711716
127,8016,1062.2485,32,2,2,3,2,3,6,0.24395277464764714
128,19015,1784.5654,62,1,2,4,4,3,6,0.24395277464764714
129,10872,2883.405,55,2,4,3,1,3,10,2.268289748126587
130,14623,1648.42,37,2,4,2,2,2,9,2.268289748126587
131,4792,2915.9026,15,2,3,7,5,3,1,0.25612126138711716
132,13139,1564.8714,80,2,1,2,5,1,7,2.231784287908177
133,3862,2449.6518,30,1,2,2,1,1,7,0.24395277464764714
134,18381,1472.6838,61,2,2,2,1,3,99,0.24395277464764714
135,11580,1836.6539,62,1,5,2,3,3,11,6.280458234866058
136,4583,1443.1470000000002,62,2,2,2,5,3,5,0.24395277464764714
137,12623,1072.5545,43,2,2,1,1,1,12,0.24395277464764714
138,18792,6934.1533,22,2,6,2,5,3,3,12.292626721605528
139,1658,1641.6699,65,2,2,1,2,1,4,0.24395277464764714
140,12997,1865.3576,74,1,2,2,9,1,99,0.24395277464764714
141,429,2666.5577,67,2,3,2,4,2,7,0.25612126138711716
142,18856,2460.5963,54,2,3,1,2,1,9,0.25612126138711716
143,18996,758.7843,52,2,1,2,2,1,10,2.231784287908177
144,7224,681.2064,60,2,1,8,8,3,98,2.231784287908177
145,290,2347.9799,27,2,2,1,4,2,7,0.24395277464764714
146,21594,666.8757,56,2,1,2,2,1,7,2.231784287908177
147,20704,1155.6922,21,2,2,1,2,1,6,0.24395277464764714
148,13399,2000.1843,48,1,4,3,4,1,10,2.268289748126587
149,20118,1777.6166,70,2,2,2,5,1,4,0.24395277464764714
150,7021,933.6282,75,1,1,2,1,3,7,2.231784287908177
151,21081,3145.6555,18,1,4,2,5,4,3,2.268289748126587
152,7896,2751.0454,75,2,3,1,5,4,4,0.25612126138711716
153,10146,1715.9459,49,2,2,2,4,1,10,0.24395277464764714
154,10715,4633.106,20,1,4,1,2,2,3,2.268289748126587
155,4619,2905.7659999999996,35,1,4,2,1,2,9,2.268289748126587
156,16079,1572.8277,18,1,4,3,5,1,3,2.268289748126587
157,3423,1777.6166,72,2,2,2,5,3,99,0.24395277464764714
158,20213,1715.9459,49,2,2,3,2,2,98,0.24395277464764714
159,15727,1693.6848,77,2,2,1,5,1,6,0.24395277464764714
160,7189,3431.8919,47,2,5,1,1,2,10,6.280458234866058
161,6841,2063.9574,78,1,2,2,5,1,7,0.24395277464764714
162,21114,4215.7254,48,1,4,3,5,4,7,2.268289748126587
163,7061,1777.6166,71,2,2,2,5,2,99,0.24395277464764714
164,18667,2449.6518,30,1,2,2,5,3,7,0.24395277464764714
165,4912,1891.4565,59,1,2,2,4,5,7,0.24395277464764714
166,12163,2036.7695,31,2,4,2,2,2,8,2.268289748126587
167,13028,3217.6634,40,2,3,3,5,2,8,0.25612126138711716
168,17099,2036.7695,32,2,5,3,2,1,7,6.280458234866058
169,10776,1572.8277,18,1,2,9,4,3,2,0.24395277464764714
170,6252,829.1707,72,2,1,1,5,4,99,2.231784287908177
171,14565,939.837,51,1,1,1,2,1,11,2.231784287908177
172,4682,942.3413,48,1,1,2,3,2,12,2.231784287908177
173,14207,2311.3844,20,2,2,1,2,1,3,0.24395277464764714
174,5678,1824.9568,36,1,4,1,3,2,11,2.268289748126587
175,16670,1179.6208,18,1,4,2,5,1,8,2.268289748126587
176,4350,2837.1848,57,1,3,2,3,3,8,0.25612126138711716
177,19693,1784.5654,60,1,2,1,2,5,98,0.24395277464764714
178,13037,2125.6006,44,1,5,2,2,2,12,6.280458234866058
179,21714,2359.2416,15,1,4,7,5,1,1,2.268289748126587
180,13348,360.4256,55,2,2,3,2,5,5,0.24395277464764714
181,948,971.3341,33,2,1,2,1,2,11,2.231784287908177
182,10271,3136.1936,29,1,2,3,3,4,3,0.24395277464764714
183,19212,4215.7254,48,1,4,2,2,1,7,2.268289748126587
184,17413,666.8757,55,2,1,4,2,4,6,2.231784287908177
185,6117,1648.42,35,2,6,3,3,1,2,12.292626721605528
186,6684,1607.4971,52,2,2,2,4,2,6,0.24395277464764714
187,15512,1607.4971,52,2,2,2,4,2,7,0.24395277464764714
188,6106,790.0207,79,2,1,2,2,2,98,2.231784287908177
189,7729,1668.9318,70,1,2,2,2,5,10,0.24395277464764714
190,22066,3161.7940000000003,49,1,3,2,2,3,8,0.25612126138711716
191,14408,4204.5217,53,1,5,3,4,2,7,6.280458234866058
192,11574,1412.7871,59,2,2,2,2,1,98,0.24395277464764714
193,2834,765.7583,66,2,1,3,1,2,4,2.231784287908177
194,3354,1824.9568,36,1,5,1,1,2,12,6.280458234866058
195,15807,1392.4041,80,2,1,1,1,4,7,2.231784287908177
196,12606,1641.6699,67,2,2,2,1,1,10,0.24395277464764714
197,21665,727.2719999999999,65,1,1,1,2,3,11,2.231784287908177
198,7747,2063.9574,76,1,2,2,2,4,9,0.24395277464764714
199,20997,2209.0257,61,2,4,1,5,2,6,2.268289748126587
200,8594,2048.0825,46,1,2,3,5,4,4,0.24395277464764714
201,18744,2754.9808,61,1,3,1,5,3,12,0.25612126138711716
202,10178,1640.3975,52,2,3,2,1,2,7,0.25612126138711716
203,1254,2695.4942,65,1,3,2,3,2,10,0.25612126138711716
204,7506,2915.9026,16,2,4,7,5,2,2,2.268289748126587
205,13696,1681.5302,49,2,2,2,2,2,6,0.24395277464764714
206,2103,1472.6838,62,2,2,3,2,3,6,0.24395277464764714
207,7116,1113.5765,31,1,1,2,2,3,7,2.231784287908177
208,1802,821.0947,64,1,1,3,5,3,5,2.231784287908177
209,93,3217.6634,41,2,4,2,5,1,1,2.268289748126587
210,4918,790.0207,76,2,1,2,1,1,10,2.231784287908177
211,10570,942.3413,49,1,1,1,1,3,12,2.231784287908177
212,9641,1796.9961,66,1,2,1,3,3,9,0.24395277464764714
213,16418,666.8757,58,2,1,2,3,3,7,2.231784287908177
214,14639,1062.2485,30,2,4,2,4,4,4,2.268289748126587
215,13676,1648.42,38,2,4,3,2,3,8,2.268289748126587
216,711,804.7748,80,2,1,1,5,4,6,2.231784287908177
217,9883,681.2064,60,2,1,1,1,2,8,2.231784287908177
218,13692,1641.6699,65,2,2,1,1,1,7,0.24395277464764714
219,3660,1648.42,39,2,4,2,1,3,98,2.268289748126587
220,9872,5778.4611,24,2,5,3,2,4,8,6.280458234866058
221,7028,3153.3913,50,1,3,3,2,2,7,0.25612126138711716
222,243,1725.3154,80,2,2,2,5,5,98,0.24395277464764714
223,1918,2504.4263,80,1,2,2,4,3,6,0.24395277464764714
224,13747,2460.5963,50,2,3,2,3,2,99,0.25612126138711716
225,10949,765.7583,65,2,1,2,4,3,7,2.231784287908177
226,22228,1392.4041,80,2,1,9,5,4,6,2.231784287908177
227,18412,2000.1843,48,1,4,2,1,2,7,2.268289748126587
228,19915,2209.0257,60,2,3,3,3,3,8,0.25612126138711716
229,21402,1641.6699,68,2,2,2,5,3,6,0.24395277464764714
230,19950,2125.6006,44,1,4,3,5,3,8,2.268289748126587
231,15009,1648.42,36,2,4,4,2,3,10,2.268289748126587
232,6580,3052.6922,27,1,3,2,2,2,8,0.25612126138711716
233,13825,1874.8755,36,1,2,2,2,1,98,0.24395277464764714
234,3890,2125.6006,43,1,3,2,3,3,8,0.25612126138711716
235,13358,845.5947,58,1,1,2,2,3,7,2.231784287908177
236,21840,2209.0257,63,2,4,1,2,3,99,2.268289748126587
237,465,2125.6006,42,1,5,3,2,4,7,6.280458234866058
238,11153,2666.5577,69,2,3,2,3,3,4,0.25612126138711716
239,4499,918.9069,55,1,2,2,3,2,7,0.24395277464764714
240,21205,2125.6006,42,1,4,2,2,2,9,2.268289748126587
241,6333,3153.3913,50,1,4,2,1,1,12,2.268289748126587
242,17279,2905.7659999999996,36,1,3,2,2,1,8,0.25612126138711716
243,9005,1715.9459,45,2,3,2,2,2,3,0.25612126138711716
244,5133,859.7103,37,2,2,4,4,1,98,0.24395277464764714
245,4913,829.1707,74,2,1,2,4,3,7,2.231784287908177
246,1386,1891.4565,56,1,2,2,4,2,7,0.24395277464764714
247,7719,2311.3844,23,2,2,2,1,2,4,0.24395277464764714
248,16671,2306.8759,77,1,2,1,1,1,9,0.24395277464764714
249,16489,1425.6685,28,1,1,2,2,2,8,2.231784287908177
250,6156,1443.1470000000002,62,2,2,2,4,2,3,0.24395277464764714
251,13013,2075.7929999999997,31,2,2,1,2,3,9,0.24395277464764714
252,1948,1640.3975,52,2,2,2,1,2,98,0.24395277464764714
253,19712,2798.0363,70,1,3,2,5,2,7,0.25612126138711716
254,553,1412.7871,59,2,2,3,1,1,9,0.24395277464764714
255,15537,666.8757,55,2,1,2,2,1,11,2.231784287908177
256,12598,2384.4297,31,1,3,2,5,3,7,0.25612126138711716
257,21080,793.7301,45,2,1,3,2,2,8,2.231784287908177
258,7011,980.758,43,2,1,3,4,2,8,2.231784287908177
259,15593,1715.9459,46,2,3,2,3,1,10,0.25612126138711716
260,3271,2573.9189,47,2,3,2,2,3,6,0.25612126138711716
261,20533,2883.405,59,2,4,2,4,2,6,2.268289748126587
262,7937,1018.3847,34,2,4,4,5,5,6,2.268289748126587
263,1321,4204.5217,52,1,5,3,3,2,11,6.280458234866058
264,3612,1784.5654,61,1,2,2,2,2,10,0.24395277464764714
265,17476,3474.8295,20,1,3,2,3,2,5,0.25612126138711716
266,18867,820.1988,50,2,2,3,4,1,6,0.24395277464764714
267,20492,2460.5963,52,2,3,2,1,1,98,0.25612126138711716
268,20975,2915.9026,15,2,4,7,5,2,2,2.268289748126587
269,10489,2125.6006,40,1,4,1,1,2,12,2.268289748126587
270,2771,1607.4971,54,2,2,2,1,2,98,0.24395277464764714
271,13166,2036.7695,34,2,4,2,3,3,7,2.268289748126587
272,11201,4633.106,22,1,4,2,2,2,7,2.268289748126587
273,17033,1062.2485,31,2,2,3,2,1,6,0.24395277464764714
274,5578,2125.6006,43,1,3,2,5,2,7,0.25612126138711716
275,13523,1258.0225,27,2,1,2,5,3,5,2.231784287908177
276,20438,1607.7689,65,1,2,2,5,2,10,0.24395277464764714
277,3931,1777.6166,70,2,2,3,5,5,98,0.24395277464764714
278,12629,681.2064,62,2,1,2,1,2,9,2.231784287908177
279,13645,933.6282,75,1,1,3,2,3,6,2.231784287908177
280,4730,2125.6006,40,1,4,1,1,2,12,2.268289748126587
281,12327,1392.4041,80,2,1,2,3,3,98,2.231784287908177
282,2588,1837.8138,55,1,2,1,2,3,11,0.24395277464764714
283,5748,2151.199,24,2,2,1,1,2,4,0.24395277464764714
284,16940,1472.6838,63,2,3,2,5,4,5,0.25612126138711716
285,12176,1425.6685,28,1,1,3,1,1,5,2.231784287908177
286,15517,758.7843,54,2,1,2,1,2,9,2.231784287908177
287,15109,2883.405,55,2,4,2,8,4,1,2.268289748126587
288,12859,845.5947,55,1,1,3,2,2,7,2.231784287908177
289,12253,2000.1843,48,1,3,3,4,3,6,0.25612126138711716
290,19881,2125.6006,40,1,5,2,1,4,4,6.280458234866058
291,11154,765.7583,66,2,1,2,2,3,5,2.231784287908177
292,4398,2125.6006,41,1,4,2,1,2,11,2.268289748126587
293,10774,1412.7871,58,2,2,2,3,2,9,0.24395277464764714
294,3804,3887.8702,17,2,6,7,5,2,2,12.292626721605528
295,19984,2311.3844,23,2,2,2,1,1,5,0.24395277464764714
296,2925,845.5947,57,1,1,2,1,4,6,2.231784287908177
297,653,942.3413,49,1,1,1,1,2,12,2.231784287908177
298,4585,1824.9568,36,1,4,2,1,2,12,2.268289748126587
299,6140,1037.6821,23,2,1,2,1,3,4,2.231784287908177
300,21589,6327.6335,31,1,5,2,2,2,11,6.280458234866058
301,16410,2063.9574,79,1,2,2,5,4,6,0.24395277464764714
302,7138,1375.7702,29,2,3,4,2,2,3,0.25612126138711716
303,14236,1607.7689,68,1,2,2,5,3,5,0.24395277464764714
304,11938,2162.5537,58,2,3,2,4,2,1,0.25612126138711716
305,15255,5791.3825,20,1,6,9,5,3,99,12.292626721605528
306,21473,3186.7454,33,2,4,2,1,1,98,2.268289748126587
307,20591,1412.7871,57,2,2,2,4,3,1,0.24395277464764714
308,15325,2162.5537,59,2,3,2,5,3,5,0.25612126138711716
309,599,3161.7940000000003,46,1,3,2,4,2,8,0.25612126138711716
310,3097,1784.5654,62,1,2,1,5,1,6,0.24395277464764714
311,7534,793.7301,47,2,1,3,5,5,3,2.231784287908177
312,12313,758.7843,50,2,1,2,4,2,6,2.231784287908177
313,9826,1824.9568,38,1,3,3,3,1,5,0.25612126138711716
314,9816,1668.9318,71,1,2,8,5,3,98,0.24395277464764714
315,20120,859.7103,36,2,2,3,2,3,98,0.24395277464764714
316,12695,1392.4041,80,2,1,2,5,3,98,2.231784287908177
317,4012,681.2064,60,2,1,1,3,2,9,2.231784287908177
318,15994,1648.42,35,2,4,4,1,2,4,2.268289748126587
319,1347,829.1707,73,2,1,4,4,5,4,2.231784287908177
320,1458,1668.9318,72,1,2,2,5,3,6,0.24395277464764714
321,11259,1648.42,35,2,5,2,2,2,5,6.280458234866058
322,21897,765.7583,65,2,1,3,5,4,5,2.231784287908177
323,18965,2042.6396,50,1,2,2,4,3,8,0.24395277464764714
324,7783,3051.0001,80,1,2,2,1,4,6,0.24395277464764714
325,12366,1412.7871,57,2,2,1,3,2,1,0.24395277464764714
326,8593,992.6982,43,1,1,3,2,2,6,2.231784287908177
327,17865,1681.5302,49,2,2,2,2,8,98,0.24395277464764714
328,10250,1640.3975,54,2,2,2,1,2,98,0.24395277464764714
329,16186,2306.8759,78,1,2,2,1,2,7,0.24395277464764714
330,17411,1392.4041,80,2,1,2,5,2,7,2.231784287908177
331,10964,1412.7871,56,2,2,2,4,2,6,0.24395277464764714
332,2146,1924.9169,72,2,2,1,2,2,9,0.24395277464764714
333,1172,790.0207,79,2,1,2,4,3,4,2.231784287908177
334,5192,939.837,54,1,1,3,2,4,7,2.231784287908177
335,22079,666.8757,56,2,1,3,4,4,1,2.231784287908177
336,7844,1047.9662,42,2,2,3,2,1,10,0.24395277464764714
337,3405,1865.3576,70,1,2,2,1,1,4,0.24395277464764714
338,16474,1693.6848,79,2,2,2,4,3,4,0.24395277464764714
339,1824,727.2719999999999,67,1,1,1,4,2,9,2.231784287908177
340,21159,2460.5963,53,2,3,2,5,3,5,0.25612126138711716
341,19475,2573.9189,45,2,5,1,1,1,10,6.280458234866058
342,10215,1874.8755,35,1,2,3,2,3,98,0.24395277464764714
343,8381,1943.9351,19,2,2,2,3,3,3,0.24395277464764714
344,8701,790.0207,75,2,1,3,5,4,6,2.231784287908177
345,7887,4204.5217,50,1,5,2,1,2,11,6.280458234866058
346,2394,2460.5963,50,2,3,2,9,2,8,0.25612126138711716
347,16573,1824.9568,35,1,4,1,1,2,12,2.268289748126587
348,15768,859.7103,39,2,3,3,3,3,6,0.25612126138711716
349,10213,3280.7951,53,2,4,1,3,3,6,2.268289748126587
350,18471,821.0947,63,1,1,3,2,2,4,2.231784287908177
351,12160,852.2914,36,1,1,1,1,3,12,2.231784287908177
352,6649,754.9389,72,1,1,1,1,2,12,2.231784287908177
353,4846,681.2064,62,2,1,1,1,2,12,2.231784287908177
354,7483,2063.9574,76,1,2,2,4,3,98,0.24395277464764714
355,19732,2316.553,21,1,2,2,2,1,5,0.24395277464764714
356,22007,2036.7695,31,2,3,2,1,2,1,0.25612126138711716
357,13688,845.5947,56,1,1,4,4,5,4,2.231784287908177
358,19535,765.7583,66,2,1,2,2,2,98,2.231784287908177
359,2664,933.6282,75,1,1,2,1,5,6,2.231784287908177
360,19486,1668.9318,70,1,2,2,5,3,6,0.24395277464764714
361,13033,2504.4263,80,1,2,9,5,4,6,0.24395277464764714
362,12069,765.7583,69,2,1,3,1,4,5,2.231784287908177
363,18156,2125.6006,43,1,3,2,4,2,9,0.25612126138711716
364,7237,2666.5577,67,2,3,4,5,4,4,0.25612126138711716
365,4921,2449.6518,34,1,2,1,1,1,7,0.24395277464764714
366,8968,1693.6848,75,2,2,2,5,4,4,0.24395277464764714
367,3847,859.7103,38,2,2,2,2,2,9,0.24395277464764714
368,11538,1375.7702,29,2,2,1,2,1,6,0.24395277464764714
369,19271,933.6282,75,1,1,1,4,2,6,2.231784287908177
370,1009,790.0207,79,2,1,3,5,5,98,2.231784287908177
371,4379,681.2064,61,2,1,2,2,2,98,2.231784287908177
372,341,4289.8648,48,2,5,2,5,3,5,6.280458234866058
373,7344,786.1305,39,2,1,2,1,2,10,2.231784287908177
374,12948,968.5887,37,1,3,2,1,3,10,0.25612126138711716
375,17707,3474.8295,20,1,3,3,3,2,5,0.25612126138711716
376,8787,857.9730000000001,48,2,2,1,1,2,12,0.24395277464764714
377,15746,4728.6413,59,1,6,2,2,2,7,12.292626721605528
378,8424,3217.6634,44,2,4,2,2,1,7,2.268289748126587
379,3491,3217.6634,40,2,4,4,2,5,8,2.268289748126587
380,11517,2125.6006,42,1,4,2,1,3,12,2.268289748126587
381,3386,1837.8138,55,1,2,1,3,2,11,0.24395277464764714
382,18298,3782.913,59,1,6,1,3,1,8,12.292626721605528
383,1005,1865.3576,72,1,2,1,1,2,6,0.24395277464764714
384,3893,829.1707,74,2,1,2,4,3,5,2.231784287908177
385,17513,2460.5963,50,2,3,3,2,3,1,0.25612126138711716
386,1985,804.7748,80,2,1,2,5,3,99,2.231784287908177
387,11300,2905.7659999999996,39,1,3,2,3,3,7,0.25612126138711716
388,11721,1784.5654,64,1,2,2,5,3,7,0.24395277464764714
389,18899,2637.9202,25,2,3,2,1,3,5,0.25612126138711716
390,19368,2531.0534,31,1,2,2,3,3,5,0.24395277464764714
391,528,2125.6006,42,1,3,9,1,1,4,0.25612126138711716
392,929,1824.9568,37,1,4,2,2,2,9,2.268289748126587
393,18500,790.0207,76,2,1,3,1,3,7,2.231784287908177
394,13441,2050.4969,50,2,5,2,2,3,3,6.280458234866058
395,2080,2125.6006,42,1,4,3,3,2,1,2.268289748126587
396,3991,2042.6396,54,1,2,1,1,3,12,0.24395277464764714
397,19538,3280.7951,50,2,4,2,2,2,10,2.268289748126587
398,17212,3384.4626,42,1,4,1,1,1,11,2.268289748126587
399,18071,2056.5303,42,2,4,2,2,3,2,2.268289748126587
400,22303,2209.0257,64,2,3,1,4,4,98,0.25612126138711716
401,11468,765.7583,66,2,1,2,3,2,7,2.231784287908177
402,6479,1441.7025,59,2,2,2,1,1,10,0.24395277464764714
403,20889,1693.6848,75,2,2,3,2,2,3,0.24395277464764714
404,17831,2384.4297,30,1,4,2,2,1,9,2.268289748126587
405,4365,1234.7867,80,1,1,1,5,2,98,2.231784287908177
406,11989,1834.0302,79,2,2,3,5,4,5,0.24395277464764714
407,1124,2042.6396,50,1,2,3,5,2,98,0.24395277464764714
408,461,2384.4297,32,1,3,3,4,3,4,0.25612126138711716
409,8815,765.7583,66,2,1,2,5,3,5,2.231784287908177
410,4386,859.7103,38,2,3,3,2,9,5,0.25612126138711716
411,13822,765.7583,66,2,1,3,4,2,6,2.231784287908177
412,13060,681.2064,64,2,1,3,5,3,7,2.231784287908177
413,20578,939.837,50,1,1,2,3,2,7,2.231784287908177
414,2078,2107.8627,46,1,2,2,4,4,3,0.24395277464764714
415,8969,2384.4297,33,1,3,4,2,3,3,0.25612126138711716
416,21361,939.837,53,1,1,2,1,3,10,2.231784287908177
417,12428,845.5947,58,1,1,3,5,4,6,2.231784287908177
418,14181,1392.4041,80,2,1,2,1,2,99,2.231784287908177
